"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3545","TC129 - should handle non-numeric values","E-commerce Product Page","Fri Jul 11 08:59:08 UTC 2025","passed","Fri Jul 11 08:59:11 UTC 2025","Invalid Quantity Values","Edge Cases and Error Scenarios","",""
"","6307","TC115 - should contain all required form fields","E-commerce Product Page","Fri Jul 11 08:57:53 UTC 2025","passed","Fri Jul 11 08:57:59 UTC 2025","Checkout Popup","User Story 2: Checkout Process Initiation","",""
"","3518","TC123 - should close popup when Cancel button is clicked","E-commerce Product Page","Fri Jul 11 08:58:43 UTC 2025","passed","Fri Jul 11 08:58:46 UTC 2025","Action Buttons","User Story 3: Customer Information Submission","",""
"","7220","TC103 - should allow user to select different sizes","E-commerce Product Page","Fri Jul 11 08:57:02 UTC 2025","passed","Fri Jul 11 08:57:09 UTC 2025","Product Customization","User Story 1: Product Selection and Customization","",""
"","3728","TC113 - should trigger checkout popup when clicked with valid selection","E-commerce Product Page","Fri Jul 11 08:57:46 UTC 2025","passed","Fri Jul 11 08:57:49 UTC 2025","Checkout Button","User Story 2: Checkout Process Initiation","",""
"","5402","TC112 - should enable checkout button when checkbox is selected","E-commerce Product Page","Fri Jul 11 08:57:40 UTC 2025","passed","Fri Jul 11 08:57:46 UTC 2025","Checkout Button","User Story 2: Checkout Process Initiation","",""
"","3581","TC124 - should return to product page after cancellation","E-commerce Product Page","Fri Jul 11 08:58:46 UTC 2025","passed","Fri Jul 11 08:58:50 UTC 2025","Action Buttons","User Story 3: Customer Information Submission","",""
"","2714","TC002 - Should fail login with invalid username","Login Feature Tests","Fri Jul 11 08:59:39 UTC 2025","passed","Fri Jul 11 08:59:42 UTC 2025","","Invalid Credentials Tests","",""
"","4155","TC122 - should allow multi-line text in address field","E-commerce Product Page","Fri Jul 11 08:58:38 UTC 2025","passed","Fri Jul 11 08:58:43 UTC 2025","Form Interaction","User Story 3: Customer Information Submission","",""
"","7210","TC125 - should complete entire flow successfully","E-commerce Product Page","Fri Jul 11 08:58:50 UTC 2025","passed","Fri Jul 11 08:58:57 UTC 2025","","Complete Happy Path Test","",""
"","3131","TC104 - should show selected options clearly","E-commerce Product Page","Fri Jul 11 08:57:09 UTC 2025","passed","Fri Jul 11 08:57:12 UTC 2025","Product Customization","User Story 1: Product Selection and Customization","",""
"","2705","TC107 - should have minimum value of 1","E-commerce Product Page","Fri Jul 11 08:57:20 UTC 2025","passed","Fri Jul 11 08:57:22 UTC 2025","Quantity Selection","User Story 1: Product Selection and Customization","",""
"","2979","TC133 - should have proper form labels and accessibility attributes","E-commerce Product Page","Fri Jul 11 08:59:28 UTC 2025","passed","Fri Jul 11 08:59:31 UTC 2025","","Accessibility and Usability","",""
"","4884","TC121 - should accept appropriate input types in all fields","E-commerce Product Page","Fri Jul 11 08:58:33 UTC 2025","passed","Fri Jul 11 08:58:38 UTC 2025","Form Interaction","User Story 3: Customer Information Submission","",""
"","4215","TC111 - should display checkout button clearly","E-commerce Product Page","Fri Jul 11 08:57:35 UTC 2025","passed","Fri Jul 11 08:57:39 UTC 2025","Checkout Button","User Story 2: Checkout Process Initiation","",""
"","3114","TC127 - should prevent negative quantity values","E-commerce Product Page","Fri Jul 11 08:59:01 UTC 2025","passed","Fri Jul 11 08:59:04 UTC 2025","Invalid Quantity Values","Edge Cases and Error Scenarios","",""
"","13553","TC010 - Should handle maximum length input gracefully","Login Feature Tests","Fri Jul 11 09:00:18 UTC 2025","passed","Fri Jul 11 09:00:31 UTC 2025","","Edge Case Tests","",""
"","2441","TC004 - Should show validation message for empty username","Login Feature Tests","Fri Jul 11 08:59:59 UTC 2025","passed","Fri Jul 11 09:00:02 UTC 2025","","Field Validation Tests","",""
"","2637","TC009 - Should handle special characters in password","Login Feature Tests","Fri Jul 11 09:00:15 UTC 2025","passed","Fri Jul 11 09:00:18 UTC 2025","","Edge Case Tests","",""
"","3906","TC105 - should have default quantity set to 1","E-commerce Product Page","Fri Jul 11 08:57:12 UTC 2025","passed","Fri Jul 11 08:57:16 UTC 2025","Quantity Selection","User Story 1: Product Selection and Customization","",""
"","3616","TC130 - should handle form cancellation and reopening","E-commerce Product Page","Fri Jul 11 08:59:11 UTC 2025","passed","Fri Jul 11 08:59:15 UTC 2025","Form Data Persistence","Edge Cases and Error Scenarios","",""
"","3135","TC128 - should prevent empty values","E-commerce Product Page","Fri Jul 11 08:59:04 UTC 2025","failed","Fri Jul 11 08:59:07 UTC 2025","Invalid Quantity Values","Edge Cases and Error Scenarios","",""
"","3530","TC126 - should handle checkout attempt without checkbox selection","E-commerce Product Page","Fri Jul 11 08:58:57 UTC 2025","passed","Fri Jul 11 08:59:01 UTC 2025","Unchecked Confirmation","Edge Cases and Error Scenarios","",""
"","4894","TC120 - should allow form submission with valid data","E-commerce Product Page","Fri Jul 11 08:58:28 UTC 2025","passed","Fri Jul 11 08:58:33 UTC 2025","Form Validation","User Story 3: Customer Information Submission","",""
"","2660","TC008 - Should handle leading/trailing spaces in credentials","Login Feature Tests","Fri Jul 11 09:00:12 UTC 2025","passed","Fri Jul 11 09:00:15 UTC 2025","","Edge Case Tests","",""
"","3061","TC108 - should handle invalid quantity values","E-commerce Product Page","Fri Jul 11 08:57:22 UTC 2025","passed","Fri Jul 11 08:57:25 UTC 2025","Quantity Selection","User Story 1: Product Selection and Customization","",""
"","6323","TC110 - should allow checkbox selection and show visual indication","E-commerce Product Page","Fri Jul 11 08:57:28 UTC 2025","passed","Fri Jul 11 08:57:35 UTC 2025","Selection Confirmation","User Story 1: Product Selection and Customization","",""
"","2209","TC011 - Should show validation messages for both empty fields","Login Feature Tests","Fri Jul 11 09:00:04 UTC 2025","passed","Fri Jul 11 09:00:06 UTC 2025","","Field Validation Tests","",""
"","6113","TC117 - should mark phone number and address as required fields","E-commerce Product Page","Fri Jul 11 08:58:03 UTC 2025","passed","Fri Jul 11 08:58:10 UTC 2025","Form Validation","User Story 3: Customer Information Submission","",""
"","2407","TC005 - Should show validation message for empty password","Login Feature Tests","Fri Jul 11 09:00:02 UTC 2025","passed","Fri Jul 11 09:00:04 UTC 2025","","Field Validation Tests","",""
"","3315","TC114 - should display popup immediately after button click","E-commerce Product Page","Fri Jul 11 08:57:49 UTC 2025","passed","Fri Jul 11 08:57:53 UTC 2025","Checkout Popup","User Story 2: Checkout Process Initiation","",""
"","3921","TC116 - should display both action buttons","E-commerce Product Page","Fri Jul 11 08:57:59 UTC 2025","passed","Fri Jul 11 08:58:03 UTC 2025","Checkout Popup","User Story 2: Checkout Process Initiation","",""
